file_idx,smiles,am1_barrier,dft_barrier,split
1,C(=C(C(=O)C)C)(C)C,27.6182163228,18.4326829195,train
2,C(=C(C=O)C)(C)C,24.2660956009,15.6389624227,test
3,C(=C(C(=O)N)C)(C)C,31.3981517369,24.6868778295,train
4,C(=C(C(=O)NC)C)(C)C,32.6356193092,26.5783112387,train
5,C(=C(C(=O)Nc1ccccc1)C)(C)C,29.930246213,23.009388128,train
6,C(=C(C(=O)N(C)C)C)(C)C,32.8789203441,31.1710380191,train
7,C(=C(C(=O)OC)C)(C)C,24.116616079,18.9449571812,train
8,C(=C(C(=O)c1ccccc1)C)(C)C,27.2726688384,18.8991282817,train
9,C(=C(C(=O)C)Cl)(C)C,21.5947620465,13.0712833887,train
10,C(=C(C=O)Cl)(C)C,18.8541656384,10.8029357864,train
11,C(=C(C(=O)N)Cl)(C)C,23.427366686,16.7767080077,train
12,C(=C(C(=O)NC)Cl)(C)C,23.8291402289,18.2507955332,train
13,C(=C(C(=O)Nc1ccccc1)Cl)(C)C,21.4342972657,14.9945741987,train
14,C(=C(C(=O)N(C)C)Cl)(C)C,27.0089456223,27.5502970586,test
15,C(=C(C(=O)OC)Cl)(C)C,20.0133377494,14.7884586718,train
16,C(=C(C(=O)c1ccccc1)Cl)(C)C,22.1196118066,17.1333850204,train
17,C(=C(C(=O)C)Br)(C)C,21.5312626295,12.8566054951,train
18,C(=C(C=O)Br)(C)C,16.2659437626,10.1390376654,train
19,C(=C(C(=O)N)Br)(C)C,22.5999776132,16.849147074,train
20,C(=C(C(=O)NC)Br)(C)C,23.0943535581,18.172633581,train
21,C(=C(C(=O)Nc1ccccc1)Br)(C)C,21.2387998116,14.784678555,test
22,C(=C(C(=O)N(C)C)Br)(C)C,25.5093453657,24.4045619444,test
23,C(=C(C(=O)OC)Br)(C)C,19.8785661962,14.1200832708,train
24,C(=C(C(=O)c1ccccc1)Br)(C)C,21.2220627366,16.3341939741,train
25,C(=C(C(=O)C)c1ccccc1)(C)C,25.1376735691,16.3043025604,train
26,C(=C(C=O)c1ccccc1)(C)C,22.300701196,13.513056961,train
27,C(=C(C(=O)N)c1ccccc1)(C)C,28.9436076094,24.6792171939,train
28,C(=C(C(=O)NC)c1ccccc1)(C)C,29.1220238407,24.3110078122,train
29,CC(C)=C(C(=O)Nc1ccccc1)c1ccccc1,27.6683999502,20.4899055867,train
30,C(=C(C(=O)N(C)C)c1ccccc1)(C)C,29.1301881827,26.9793933316,train
31,C(=C(C(=O)OC)c1ccccc1)(C)C,22.0924448822,17.5933990381,train
32,C(=C(C(=O)c1ccccc1)c1ccccc1)(C)C,25.5222189181,18.565558678,train
33,C(=CC(=O)C)(C)C,25.5639690806,16.344583021,train
34,C(=CC=O)(C)C,23.6497018644,14.9434798674,train
35,C(=CC(=O)N)(C)C,30.9477859137,18.8421309688,train
36,C(=CC(=O)NC)(C)C,31.3911300893,20.1809588272,test
37,C(=CC(=O)Nc1ccccc1)(C)C,26.8205892079,16.5071776285,train
38,C(=CC(=O)N(C)C)(C)C,28.5641982981,21.2736140915,train
39,C(=CC(=O)OC)(C)C,23.6815550809,18.4752299443,train
40,C(=CC(=O)c1ccccc1)(C)C,24.0761753642,13.2165612446,train
41,C(=C(\C(=O)C)/C)(/C)\Cl,25.5690034949,18.2112480038,train
42,C(=C(\C=O)/C)(/C)\Cl,20.7618570584,15.1216423572,train
43,C(=C(\C(=O)N)/C)(/C)\Cl,26.8672882676,22.017652075,train
44,C(=C(\C(=O)NC)/C)(/C)\Cl,27.1721385272,23.361980054,train
