method,space,seed,eval_index,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
random,narrow,1,0,254.1174344238081,0.14415961271963373,0.03278964410553163,1.7195374633846512,0.18284934741427464,2.3304979988789625,0.3030236352495024,0.8177147239215458,0.022037542425907282
random,narrow,1,1,28686.350252438482,0.42332644897257565,0.0001423820322400467,1.1646331901962808,0.10666631746565947,1.5548193579028848,0.20163704275285393,0.9155003442022579,0.03203350487215136
random,narrow,1,2,7750.855865968446,0.5495936876730595,0.00032629869076029,1.1770345539987084,0.09387756304999419,1.5106542453266087,0.12435639167236424,0.9214488266460833,0.02015571068833229
random,narrow,1,3,1.347409008019633,0.5381433132192782,0.0061266403502417835,1.6184905123875217,0.180080341923773,2.145337949826647,0.31613146844257056,0.8453727368225585,0.02487592305570779
random,narrow,1,4,35.432308232717006,0.303194829291645,0.008248483776334985,1.23241669963152,0.06867451408905915,1.6152819601115573,0.09814099555004241,0.9117525251437331,0.00859967150687652
random,narrow,1,5,135.198844453213,0.40311298644712923,3.1319600767471384e-05,1.6071519567186594,0.1389814770760685,2.0854014958281675,0.21765537843922586,0.8537332229542363,0.014301803795805326
random,narrow,1,6,9.037120500138354,0.7503646726300526,9.338759216613932e-05,2.0487236848279933,0.1933705125206315,2.660749669201114,0.3218181948474994,0.7623462057615354,0.025787135202072355
random,narrow,1,7,20.779368396194464,0.9807371998012386,0.0006233139702698201,1.3877420197369874,0.12085237646173899,1.814642884607305,0.1752192304357064,0.88894173709811,0.012514008946087988
random,narrow,1,8,33021.614835573266,0.5412268555474342,0.004797072148647243,1.2151327471558866,0.051731820338357964,1.5858864928152498,0.060451282246348756,0.9141965635904044,0.014442980011760535
random,narrow,1,9,20.003383548584335,0.9699254132161326,3.928682764722621e-05,2.088845778721561,0.19640036143943082,2.7079216360061187,0.32698225821228843,0.7538636202903982,0.02621369143080094
random,narrow,1,10,266.06687186553927,0.6234897555375004,2.6827699002578254e-05,1.523029374498445,0.13047950265635727,1.9776700238688238,0.18802917228524565,0.8683381924267854,0.011494668676782028
random,narrow,1,11,4462.8332199122715,0.9172977047909027,0.0018513171450493132,1.227161993419222,0.055355053889321125,1.5725048387560192,0.08153060219223363,0.9152060607111089,0.018257951132462577
random,narrow,1,12,1.534778616943961,0.4593358828854037,0.000902060839268605,1.8909959351195333,0.1723674315900735,2.451512359692992,0.29644436185579326,0.7982671120416661,0.02170228691766808
random,narrow,1,13,1.9632644481107333,0.8526328384806567,0.002356425211267515,1.6076937937291338,0.1485865207504478,2.100276188902414,0.24683082966164765,0.8518173208766429,0.015508552378619766
random,narrow,1,14,611.2404100711518,0.8398815210314088,9.164159880029861e-05,1.2990688109260078,0.10705520835295433,1.716100604848831,0.14256329761717684,0.9002539802349239,0.01378461961736052
random,narrow,1,15,247.80260332312648,0.7530302077021779,0.0007758230154854577,1.1518498466940383,0.11327460814150755,1.5158262767431119,0.1249542247567088,0.9218847707926093,0.013632585580754116
random,narrow,1,16,4.95542844164573,0.6832869060032571,0.01075906791086817,1.3858547290362078,0.12631659412701077,1.8377378061932081,0.24191307692503744,0.8863389127393845,0.016716252336315508
random,narrow,1,17,4995.108417040857,0.80236416113453,5.1142598991734135e-05,1.2400362793979396,0.10319138711899832,1.6440789736947117,0.13813644640162054,0.9081809865769441,0.01513693068712182
random,narrow,1,18,7.9254766292091325,0.8552269742870702,2.0029065435363316e-05,2.9222210439286704,0.26205630142891695,3.788060857622957,0.4277176073675091,0.5187122310122025,0.035473535137410715
random,narrow,1,19,11146.674359358241,0.4719097193587902,0.01746965898000131,1.4149944049808216,0.09301020464455166,1.8730013974326738,0.16687029986248988,0.8819182343828065,0.008024028126205937
random,narrow,1,20,19.39747308044696,0.6457208955749478,1.0622639944719572e-05,2.750733344233807,0.24929347662814916,3.571225797091182,0.4163288732782487,0.5722448862300782,0.035780294408171494
random,narrow,1,21,2414.5299619987877,0.28187782736454214,0.012323823460095383,1.3019074674319087,0.06496024689727538,1.7043695635511806,0.1015619824614861,0.9018456270969045,0.007840196473014566
random,narrow,1,22,10.263694385402012,0.8050548331450097,0.0023166882591783553,1.2842686469283973,0.11542330976275739,1.7112375066926648,0.172952190854176,0.9010408177524866,0.013879346819891376
random,narrow,1,23,33748.97020284013,0.48221238819933654,3.604017014726869e-05,1.1574126599420527,0.10210422402616874,1.5544494387946237,0.13404944885304765,0.9171094294474263,0.01978131047969492
random,narrow,1,24,16004.532726499663,0.5895020620840481,0.0003661146935719423,1.2592367073321806,0.08826968456628448,1.6128213736306134,0.20336360297613473,0.90855036346207,0.03573517772934337
