method,space,seed,eval_index,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
bayesian,narrow,1,0,91.11164572353077,0.00011437481734488664,0.004618050679297642,1.197337070710958,0.05830261189574079,1.5916045787997213,0.05909708836650371,0.9139923428287513,0.01132110195719374
bayesian,narrow,1,1,26.34217861135166,0.0923385947687978,3.490162420887713e-05,2.027029736493101,0.1560779761430054,2.6517205620858,0.24346828253191308,0.7626023346203878,0.03215411219986226
bayesian,narrow,1,2,7.502934347162998,0.39676747423066994,0.00018976615757974562,1.8852381045701871,0.13278940030235029,2.4519244484275946,0.2147005306715432,0.7970307621553292,0.02651698953394499
bayesian,narrow,1,3,340.3170209860034,0.6852195003967595,0.00035529405016824887,1.1836052505145012,0.03161521996612547,1.5824877910902124,0.05270441849718228,0.9151897388299137,0.009209496971626104
bayesian,narrow,1,4,9.135135400100703,0.027387593197926163,0.01770639129481085,1.3900918402450633,0.03289996070835932,1.8967368437164134,0.03253060928070167,0.878237371019259,0.010974695566140457
bayesian,narrow,1,5,1414.186604564138,0.5586898284457517,0.0003496213509614208,1.1434788861560665,0.03620801482514026,1.5479441633391324,0.08884406284135424,0.9189208989128398,0.0096349591336353
bayesian,narrow,1,6,4.567452225832849,0.8007445686755367,5.404698425368997e-05,2.65956535973078,0.12802412931386742,3.4647025580563637,0.23229914516087127,0.5953332449317463,0.03277383150287633
bayesian,narrow,1,7,35467.6243993348,0.6923226156693141,0.00014432668403580536,1.2173928245121555,0.04199737408943728,1.7215586054965322,0.31938863269019246,0.898663787432388,0.033373790075232196
bayesian,narrow,1,8,13125.816810513645,0.08504421136977791,0.02037620090275351,1.4351377145408812,0.04329007868767017,1.910936939508972,0.01405382702779518,0.876518712934866,0.009094251789432954
bayesian,narrow,1,9,1.5258690178457432,0.8781425034294131,4.248128330921891e-05,3.4876130619560657,0.11241491506124844,4.498831697640293,0.21480049550849037,0.3180725541705498,0.01896927143773766
bayesian,narrow,1,10,288.64284078917024,0.7222794050786066,0.05,2.219724021711191,0.14946951943290157,2.9811354586385503,0.13781982991485142,0.7001017134938823,0.019605659996853507
bayesian,narrow,1,11,17841.862741846475,0.0,0.000522392200492678,1.3816964573407682,0.10236142283234421,1.7810156752285138,0.11218149642063238,0.8923393200441303,0.01627316484555875
bayesian,narrow,1,12,8642.711459726352,1.0,1e-05,1.3026162216305073,0.03180787827310008,1.7271324604359157,0.0540054522929415,0.8990760566086016,0.009483501535711671
bayesian,narrow,1,13,50000.0,0.9999999999999999,0.002559667264851631,1.2374760358898054,0.04919344401684683,1.5843866935308935,0.06946160758974507,0.9148663772313664,0.010800226780949152
bayesian,narrow,1,14,61.313781252105684,0.0,0.001143281850063179,1.1390025782823918,0.027830827149798273,1.5460770409281992,0.058126267347197204,0.9190123490108462,0.009375894174294167
