evaluation,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
cv,5,0.1,0.01,1.321330987059686,0.055419982200630886,1.8019945693908088,0.07930357792254873,0.8902173502771096,0.010275536317475426
cv,5,0.1,0.01,1.321330987059686,0.055419982200630886,1.8019945693908088,0.07930357792254873,0.8902173502771096,0.010275536317475426
cv,5,0.1,0.01,1.321330987059686,0.055419982200630886,1.8019945693908088,0.07930357792254873,0.8902173502771096,0.010275536317475426
cv,5,0.1,0.01,1.321330987059686,0.055419982200630886,1.8019945693908088,0.07930357792254873,0.8902173502771096,0.010275536317475426
llm,1.0,0.1,0.01,1.7705476288523383,0.08218901951539714,2.3729802175198795,0.13512443089846354,0.8102422354139469,0.010339725305930579
llm,5.0,0.1,0.01,1.321330987059686,0.055419982200630886,1.8019945693908088,0.07930357792254873,0.8902173502771096,0.010275536317475426
llm,20.0,0.05,0.005,1.1710387807729408,0.02768960938338129,1.5794322004285326,0.05893574638308962,0.9154264725492685,0.01043112029992821
llm,1.0,0.1,0.01,1.7705476288523383,0.08218901951539714,2.3729802175198795,0.13512443089846354,0.8102422354139469,0.010339725305930579
llm,5.0,0.1,0.01,1.321330987059686,0.055419982200630886,1.8019945693908088,0.07930357792254873,0.8902173502771096,0.010275536317475426
llm,20.0,0.05,0.005,1.1710387807729408,0.02768960938338129,1.5794322004285326,0.05893574638308962,0.9154264725492685,0.01043112029992821
llm,50.0,0.1,0.005,1.1673573267474582,0.038375762989563314,1.56568703374344,0.05009819661900832,0.9167945178375814,0.010632534336778132
llm,200.0,0.05,0.002,1.1464360624435093,0.05084685586518106,1.5310191451988235,0.06764081846804376,0.9202063541993905,0.012722996499880039
llm,1000.0,0.05,0.001,1.1583792696120792,0.06744829536094926,1.539203031842018,0.07893621393956153,0.9192593285251165,0.01377932789879293
llm,100.0,0.2,0.0005,1.1921511116898356,0.032124471372433155,1.6064931271229643,0.06309360954678275,0.9126111381589714,0.009633420210452008
llm,500.0,0.01,0.007,1.2858160555043492,0.07272749411250605,1.6752873166192006,0.05899160253650436,0.9050560607619458,0.008684737722026315
llm,300.0,0.05,0.0015,1.1451698951508886,0.05878465068737539,1.5262865319103778,0.07969146592446162,0.920585539359252,0.01384660337461864
llm,2000.0,0.05,0.0005,1.1612416321384444,0.05880183508502102,1.5507999334270273,0.07604841396928297,0.9181252002552975,0.013663032712806774
llm,150.0,0.1,0.003,1.1680328189792868,0.05261061736935035,1.5521697323310928,0.05243396181366277,0.9181673857581778,0.01097597455560202
llm,700.0,0.02,0.0015,1.1959777554744115,0.054637215785320804,1.5748308331564398,0.05210556417440731,0.9157827590738791,0.011064865873233375
llm,5000.0,0.1,0.0002,1.138912851914425,0.03344116011915934,1.5791034175074166,0.11399823838584808,0.9157153137775786,0.010094876727449542
llm,20000.0,0.1,0.0001,1.1489838860159558,0.02865347665970723,1.6124075578331358,0.17713435137546457,0.911996898388675,0.015682437958049918
llm,5000.0,0.3,0.0003,1.1617463368793384,0.046531876424120724,1.5839847722081557,0.11628537332673458,0.9150847386699171,0.01139093432132431
llm,50000.0,0.2,3e-05,1.148174125421853,0.04911409503288445,1.560882080535464,0.09108164764655259,0.9175509110877057,0.00968219147591631
llm,10000.0,0.5,0.0002,1.1719274442231047,0.03242413099577513,1.6105849261007368,0.17426642990448699,0.9121969769141831,0.015437090277561457
llm,3000.0,0.1,0.0007,1.1953772150025805,0.06899360294484946,1.577630116076937,0.0815670772277772,0.9152002754619597,0.014331141142763484
llm,20.0,0.05,0.005,1.1710387807729408,0.02768960938338129,1.5794322004285326,0.05893574638308962,0.9154264725492685,0.01043112029992821
llm,50.0,0.1,0.003,1.1470730367159878,0.028293317213296323,1.531841041669709,0.0529122982951788,0.9203311516205664,0.010823594838562227
llm,10.0,0.02,0.01,1.2523742957835868,0.03461284122522301,1.7066794567504533,0.07028047585871036,0.9013136365342305,0.011583073306511862
llm,100.0,0.05,0.002,1.14239757557929,0.03581613417854107,1.5232575531310677,0.06416889610177166,0.9210774335447258,0.012260984656323843
llm,30.0,0.1,0.007,1.187808241428424,0.031178274944828152,1.5978480560295214,0.04902122240984063,0.9133662497244159,0.010781581479428077
llm,300.0,0.1,0.001,1.1274815464353214,0.04987654264585421,1.5102612349393918,0.07788540754953822,0.9222974893048217,0.013335717952033132
llm,100.0,0.1,0.001,1.1256785018023592,0.0337092674422574,1.531093110265075,0.06589892687093125,0.9204745455064327,0.010538322332245838
llm,500.0,0.05,0.0005,1.1245402783064495,0.041086580361947,1.5289736691878844,0.06553534808618505,0.9207426019460974,0.01006616756440006
llm,200.0,0.2,0.002,1.1498827970298249,0.0479620460424758,1.5256323281364073,0.06344855896519974,0.9208069394464905,0.01209341202897304
llm,1000.0,0.1,0.0003,1.1325879274304467,0.04465048817007191,1.5426762205072477,0.07056260028501883,0.9194181470182403,0.009253978333227943
llm,500.0,0.3,0.0007,1.121654825071341,0.052425061142104795,1.5056420983036645,0.0738368568589454,0.9229099720441573,0.01235771985030085
llm,200.0,0.5,0.001,1.1329294983222757,0.04510998477203684,1.511613694524328,0.07454901562603765,0.9222687733874914,0.012538005647578074
llm,2000.0,0.2,0.0002,1.140542626337536,0.04166164902952743,1.553392188264276,0.07640900371335468,0.918351131361935,0.0089577320406759
llm,1000.0,0.4,0.0005,1.1347705209844325,0.04556386400225996,1.5263810242843932,0.06810598288358793,0.9210215884436227,0.010230071220025427
llm,300.0,0.15,0.0015,1.1412527516192572,0.056235781648994045,1.5168781673607235,0.07869813483623143,0.9215666034120542,0.013577237017348733
llm,10.0,0.1,0.005,1.2065011909826038,0.04849482207121024,1.6344586642993204,0.07131271429977482,0.9095322551847665,0.010587831068576518
llm,50.0,0.05,0.001,1.1653166476905905,0.028351363806608635,1.5742338800466835,0.05626966202638319,0.9160693318152742,0.009246978005283683
llm,1000.0,0.2,0.0001,1.2158650486314027,0.03559847504475175,1.6364259211586833,0.0844086335242613,0.9092230168319195,0.011930991215647314
llm,3.0,0.02,0.015,1.4993704907353607,0.05253440804385784,2.0650059200394026,0.09035126603803062,0.856116843031779,0.00856454499434716
llm,200.0,0.5,0.03,1.6867219460549225,0.07677566408906727,2.276224902890358,0.07663607552036808,0.8249373978482512,0.013177262765861113
llm,50.0,0.05,0.0025,1.143107796813419,0.025403822090238382,1.5356788916839255,0.055003311291676744,0.9199797495975865,0.010596181101393511
llm,500.0,0.05,0.001,1.1426280394348938,0.0637131490283805,1.523822790132181,0.08806980459792411,0.9207714421511554,0.01464042343840045
llm,5.0,0.05,0.001,1.5095663382286157,0.06750013399111049,1.9790131573992276,0.08585220128607081,0.8679066209669873,0.0065716817851129245
llm,50.0,0.5,0.001,1.1832284556624522,0.03382084626288872,1.5970858705640811,0.04999182332580104,0.9137036140447499,0.008220568983243729
llm,1000.0,0.1,0.015,1.3371183187685478,0.044039362638521366,1.7615374139395947,0.015582800863942491,0.8950377298251011,0.008171083633009823
llm,500.0,0.05,0.0025,1.2537463539069396,0.08252994165121631,1.6450210471117643,0.07914844713350654,0.9081674326429047,0.012230361287689217
llm,200.0,0.05,0.005,1.2559018604149483,0.07111223530827863,1.641921365051847,0.05653728711277505,0.9086950692090643,0.00938767930088371
llm,5000.0,0.05,0.001,1.3447418087354037,0.11562260694844706,1.7478801704892597,0.13527091324717755,0.8960532710652217,0.018722076678298397
llm,5000.0,0.05,0.0002,1.1418838088598475,0.03328186875848057,1.5864208149272714,0.11625125398144211,0.9149393167478206,0.010201764315652567
llm,500.0,1.0,0.001,1.1621004124120866,0.04852309688792004,1.5107113206714122,0.062052846768853906,0.9224305880488254,0.01112535058652933
llm,500.0,0.05,0.0025,1.2537463539069396,0.08252994165121631,1.6450210471117643,0.07914844713350654,0.9081674326429047,0.012230361287689217
llm,200.0,0.05,0.005,1.2559018604149483,0.07111223530827863,1.641921365051847,0.05653728711277505,0.9086950692090643,0.00938767930088371
llm,5000.0,0.05,0.001,1.3447418087354037,0.11562260694844706,1.7478801704892597,0.13527091324717755,0.8960532710652217,0.018722076678298397
llm,5000.0,0.05,0.0002,1.1418838088598475,0.03328186875848057,1.5864208149272714,0.11625125398144211,0.9149393167478206,0.010201764315652567
llm,500.0,1.0,0.001,1.1621004124120866,0.04852309688792004,1.5107113206714122,0.062052846768853906,0.9224305880488254,0.01112535058652933
